speciesKey,state,direction,month,obs_count,mean_lat,mean_lon,individual_sum
2492605,karnataka,S,5,5,12.839904,77.587975,5
2492746,karnataka,S,5,5,14.222809000000002,77.01936199999999,9
2490283,karnataka,S,12,5,13.0841428,77.7129912,10
5229199,karnataka,S,10,8,13.617475500000001,74.67374625,8
2473362,karnataka,S,12,6,11.953767333333333,76.93080833333333,30
9701857,goa,SW,12,468,15.394930547008567,73.96121981837577,1882
2477226,goa,SW,1,247,15.46491484210528,74.10610405263147,1418
2495776,goa,SW,3,124,15.46374177419356,73.91472595967745,290
2490317,goa,SW,12,213,15.335773511737107,74.18960953521116,290
9584952,goa,SW,12,1674,15.395624108124204,74.03044812485051,3988
2492846,goa,SW,1,439,15.438981681093399,74.00480294533017,504
2490317,goa,SW,1,273,15.372616772893801,74.17317839560427,405
2480509,goa,SW,11,194,15.455650958762883,73.92040940206189,244
6065824,goa,SW,1,243,15.513821234567907,73.78034079012346,6661
2474460,goa,SW,8,29,15.546013206896552,73.91192793103448,37
5228839,goa,SW,10,84,15.241646464285711,74.19643476190475,109
2498112,goa,SW,1,362,15.346419245856385,73.96873126795572,96988
5228310,goa,SW,1,220,15.45282439545451,73.90221500000018,325
2482003,goa,SW,9,115,15.352505652173912,73.70448326086955,273
2490317,goa,SW,2,247,15.383744894736859,74.17524605668007,341
2492557,goa,SW,2,397,15.395044418136045,74.17581051889152,545
2492557,goa,SW,11,294,15.405821625850368,74.16110749659833,371
2481681,goa,SW,11,99,15.481112909090903,73.85031735353526,373
2492557,goa,SW,12,283,15.389429282685525,74.18544379505283,375
6088887,goa,SW,10,126,15.366580404761914,74.18710669047613,309
9610931,goa,SW,1,409,15.397842880195649,74.15465586797039,1002
2492846,goa,SW,12,499,15.426117705410824,74.00806000601189,559
5229419,goa,SW,10,79,15.413510835443038,73.57620410126582,613
8214667,goa,SW,1,284,15.396205052816908,73.96637606690143,48302
2492846,goa,SW,11,598,15.418241545150527,74.04029164548486,713
2480685,goa,SW,11,349,15.45215298280802,73.93238450716325,402
2493055,goa,SW,11,264,15.400730795454564,74.16297272348473,897
2493137,goa,SW,1,104,15.498369346153853,73.92040680769227,153
4408796,goa,SW,3,18,15.638388277777779,74.15627388888888,99
2480685,goa,SW,12,333,15.459361990991006,73.95418097297285,407
6088887,goa,SW,2,250,15.343480080000012,74.19002424399989,489
9610931,goa,SW,11,359,15.39242963509753,74.16733434540366,851
5232328,goa,SW,12,73,15.443581013698635,74.15632438356162,100
5846290,goa,SW,10,432,15.458645666666678,73.9224886574072,911
5846290,goa,SW,11,756,15.458658507936542,73.90333811111091,1680
2480509,goa,SW,1,253,15.501501628458502,73.89742141897236,361
2474628,goa,SW,11,37,15.437759702702701,73.91860945945946,48
2493055,goa,SW,12,344,15.390688058139546,74.17644416860452,1155
8157718,goa,SW,12,539,15.349740682745797,74.22177022077916,1162
2490681,goa,SW,11,97,15.48995573195877,73.87670116494847,3188
8157718,goa,SW,3,353,15.335206161473085,74.21590164022659,722
9613112,goa,SW,11,82,15.469747329268305,73.95904448780486,292
5231264,goa,SW,12,94,15.366296659574465,74.16634287234041,119
5846290,goa,SW,1,931,15.460697163265415,73.90315468958097,2162
2490307,goa,SW,12,76,15.44033405263157,73.93883506578948,123
7341536,goa,SW,11,344,15.39159111046514,74.14408588662769,429
5846290,goa,SW,2,563,15.463708552397888,73.90396660745984,1265
2481621,goa,SW,9,46,15.425571347826079,73.7019402391304,120
2480509,goa,SW,12,222,15.488729671171166,73.92776640090096,283
2480685,goa,SW,1,465,15.456733045161306,73.97758491182783,554
9701857,goa,SW,2,431,15.409969573085856,73.95870612993032,1257
2490264,goa,SW,1,32,15.545498687500004,73.82156884374999,56
8157718,goa,SW,8,44,15.274602886363635,74.18469025,130
2490274,goa,SW,9,5,15.3756474,73.980835,7
6065824,goa,SW,2,146,15.48824119863014,73.81906035616444,2367
5789286,goa,SW,9,295,15.344402413559328,73.68949027118666,8415
9465111,goa,SW,2,31,15.527467870967746,73.80871558064518,126
9613112,goa,SW,12,105,15.482091952380951,74.06324663809521,293
2493137,goa,SW,11,138,15.464653833333337,73.91602100724639,221
2493055,goa,SW,3,225,15.402955964444454,74.15168868888874,696
5229249,goa,SW,9,19,15.44021205263158,73.68868115789476,194
2498112,goa,SW,11,157,15.415082108280252,73.92700187261156,11047
2493055,goa,SW,1,376,15.389680622340466,74.1632817792552,1079
5228839,goa,SW,11,98,15.317417183673484,74.21937562244895,158
2480967,goa,SW,9,67,15.37555867164178,73.68712350746263,101
9701857,goa,SW,3,275,15.389191283636363,73.97129070181828,794
5231007,goa,SW,3,140,15.359154835714282,74.12828964285713,177
9584952,goa,SW,11,1261,15.410686700237859,74.03453615305301,2904
5228719,goa,SW,9,14,15.438474571428568,74.17025185714286,20
9584952,goa,SW,3,491,15.412308883910379,74.04928649083487,804
2498112,goa,SW,2,251,15.359083621513985,73.97429841434263,93573
2492846,goa,SW,10,403,15.411429851116651,74.03799792059552,518
2481681,goa,SW,9,89,15.505171202247176,73.82613332584268,166
9584952,goa,SW,1,1171,15.400327584116074,74.04935059180163,2310
5231007,goa,SW,2,216,15.383088986111122,74.14384810648134,257
9584952,goa,SW,10,897,15.367196705685622,74.09719746042363,1933
5228839,goa,SW,5,38,15.32905881578948,74.20620021052633,64
2477226,goa,SW,2,149,15.429303704697988,74.11423551677852,1097
2493967,goa,SW,9,10,15.403930299999999,74.1225145,13
2480685,goa,SW,3,142,15.457223654929578,73.98190256338023,183
