district,town_name,display_name,first_census,census_count,lat,lon,geocode_status,geocode_query
Nandurbar,shahade,Shahade (M Cl),2001,2,21.597328,74.563742,ok_photon,"Shahada, Nandurbar district, Maharashtra, India"
Nandurbar,nandurbar,Nandurbar (M Cl),2001,2,21.363778,74.241142,ok,"Nandurbar, Nandurbar district, Maharashtra, India"
Nandurbar,nawapur,Nawapur (M Cl),2001,2,21.163723,73.797192,ok_photon,"Navapur, Nandurbar district, Maharashtra, India"
Nandurbar,khapar,Khapar (Ct),2011,1,21.53437,73.931027,ok,"Khapar, Nandurbar district, Maharashtra, India"
Nandurbar,akkalkuwa,Akkalkuwa (Ct),2011,1,21.700568,74.00019,ok,"Akkalkuwa, Nandurbar district, Maharashtra, India"
Nandurbar,makranifali,Makranifali (Ct),2011,1,21.551982,74.000001,ok,"Makranifali, Nandurbar district, Maharashtra, India"
Nandurbar,vadfalya,Vadfalya (Ct),2011,1,21.514162,74.540551,ok_photon,"Vadfalya, Nandurbar district, Maharashtra, India"
Nandurbar,khandbara,Khandbara (Ct),2011,1,21.306463,74.044907,ok,"Khandbara, Nandurbar district, Maharashtra, India"
Nashik,bhagur,Bhagur (M),1991,3,19.8753,73.833389,ok,"Bhagur, Nashik district, Maharashtra, India"
Nashik,chandvad,Chandvad (Ct),1991,2,20.327815,74.238723,ok,"Chandvad, Nashik district, Maharashtra, India"
Nashik,deolali,Deolali (Cantt.),1991,3,19.918394,73.831947,ok_photon,"Deolali, Nashik district, Maharashtra, India"
Nashik,eklahare,Eklahare (Ct),1991,3,20.798877,74.225024,ok_arcgis,"Eklahare, Nashik district, Maharashtra, India"
Nashik,ghoti bk.,Ghoti Bk. (Ct),1991,2,19.716776,73.624474,ok,"Ghoti Bk., Nashik district, Maharashtra, India"
Nashik,igatpuri,Igatpuri (M),1991,3,19.694439,73.563888,ok,"Igatpuri, Nashik district, Maharashtra, India"
Nashik,lasalgaon,Lasalgaon (Ct),1991,3,20.142684,74.237751,ok,"Lasalgaon, Nashik district, Maharashtra, India"
Nashik,malegaon,Malegaon (M),1991,3,20.557606,74.524651,ok,"Malegaon, Nashik district, Maharashtra, India"
Nashik,manmad,Manmad (M),1991,3,20.251983,74.439229,ok,"Manmad, Nashik district, Maharashtra, India"
Nashik,nandgaon,Nandgaon (M),1991,3,20.309402,74.659762,ok,"Nandgaon, Nashik district, Maharashtra, India"
Nashik,nashik,Nashik (M.Corp.),1991,3,20.011247,73.790236,ok,"Nashik, Nashik district, Maharashtra, India"
Nashik,ozar,Ozar (Ct),1991,3,20.477522,73.863071,ok,"Ozar, Nashik district, Maharashtra, India"
Nashik,ravalgaon,Ravalgaon (Ct),1991,1,20.616318,74.400495,ok_arcgis,"Ravalgaon, Nashik district, Maharashtra, India"
Nashik,satana,Satana (M),1991,3,20.599101,74.202108,ok,"Satana, Nashik district, Maharashtra, India"
Nashik,sinnar,Sinnar (M),1991,3,19.845314,74.000024,ok,"Sinnar, Nashik district, Maharashtra, India"
Nashik,trimbak,Trimbak (M),1991,3,19.935386,73.530177,ok,"Trimbak, Nashik district, Maharashtra, India"
Nashik,yevla,Yevla (M),1991,3,20.07918,74.519942,ok_photon,"Yeola, Nashik district, Maharashtra, India"
Nashik,surgana,Surgana (Ct),2001,2,20.559243,73.637561,ok,"Surgana, Nashik district, Maharashtra, India"
Nashik,soyagaon,Soyagaon (Ct),2001,2,20.225456,74.104233,ok_photon,"Soyagaon, Nashik district, Maharashtra, India"
Nashik,dyane,Dyane (Ct),2001,2,20.754143,74.286905,ok,"Dyane, Nashik district, Maharashtra, India"
Nashik,ghoti budruk,Ghoti Budruk (Ct),2001,1,19.71635,73.62781,ok,"Ghoti Budruk, Nashik district, Maharashtra, India"
Nashik,malegaon (m corp. + og),Malegaon (M Corp. + Og),2011,1,20.557606,74.524651,ok,"Malegaon, Nashik district, Maharashtra, India"
Nashik,sangameshwar,Sangameshwar (Ct),2011,1,20.075817,74.104076,ok,"Sangameshwar, Nashik district, Maharashtra, India"
Nashik,maldhe,Maldhe (Ct),2011,1,20.225456,74.104233,ok_photon,"Maldhe, Nashik district, Maharashtra, India"
Nashik,samangaon,Samangaon (Ct),2011,1,20.225456,74.104233,ok_photon,"Samangaon, Nashik district, Maharashtra, India"
Nashik,vilholi,Vilholi (Ct),2011,1,19.916392,73.717828,ok,"Vilholi, Nashik district, Maharashtra, India"
Nashik,sansari,Sansari (Ct),2011,1,19.906258,73.838334,ok,"Sansari, Nashik district, Maharashtra, India"
